,,,,89.0,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,▽派生並び主キー,,,6748,7586,,,,,"4,669,091",,,派生段階,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,作成種別(NT+/強化-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,派生表通番,,,確認,目的派生検索,NO,NTL,名声,Pt,総名声,総Pt,Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
,1,▽,ボール,〇,ボール,0,0,1,"2,910",1,"2,910",―,ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,├ボールK型,〇,ボールK型,1,0,1,"2,910",2,"5,820",―,ボール,ボールK型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,│├ボール改,〇,ボール改,"1,476",0,1,"3,390",3,"9,210",―,ボール,ボールK型,ボール改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,││└トロハチ,〇,トロハチ,"7,426",0,1,"1,068",4,"10,278",―,ボール,ボールK型,ボール改,トロハチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,│├サンダーボルト仕様ボール,〇,サンダーボルト仕様ボール,"5,027",0,1,"3,390",3,"9,210",―,ボール,ボールK型,サンダーボルト仕様ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,│├機雷散布ポッド装備仕様ボール,〇,機雷散布ポッド装備仕様ボール,"4,081",0,1,"3,390",3,"9,210",―,ボール,ボールK型,機雷散布ポッド装備仕様ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,│├マ・クベ専用ボール,？,マ・クベ専用ボール,"2,766",0,20,"1,800",22,"7,620",―,ボール,ボールK型,マ・クベ専用ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,│├連邦宇宙輸送艇,〇,連邦宇宙輸送艇,"3,811",0,5,"6,600",7,"12,420",―,ボール,ボールK型,連邦宇宙輸送艇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,││├スーツキャリアー,〇,スーツキャリアー,467,0,10,"5,100",17,"17,520",―,ボール,ボールK型,連邦宇宙輸送艇,スーツキャリアー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,││└コロンブス,〇,コロンブス,738,0,50,"10,500",57,"22,920",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,││　├ヨーツンヘイム,〇,ヨーツンヘイム,"3,219",0,50,"30,900",107,"53,820",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,ヨーツンヘイム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,││　├フリーデン,〇,フリーデン,"1,017",0,150,"60,000",207,"82,920",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,││　│├フリーデンII,〇,フリーデンII,"1,018",0,100,"96,000",307,"178,920",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,フリーデンII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,,││　│├シーバルチャー艦,〇,シーバルチャー艦,"3,692",0,60,"30,000",267,"112,920",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,シーバルチャー艦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,,││　││└ドリテア護衛艦,〇,ドリテア護衛艦,"3,704",0,10,"30,000",277,"142,920",―,ボール,ボールK型,連邦宇宙輸送艇,コロンブス,フリーデン,シーバルチャー艦,ドリテア護衛艦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
